Bisaya,Tagalog,English,Part of Speech,Pronunciation,Category,Beginner Example (Bisaya),Beginner English Translation,Beginner Tagalog Translation,Intermediate Example (Bisaya),Intermediate English Translation,Intermediate Tagalog Translation,Advanced Example (Bisaya),Advanced English Translation,Advanced Tagalog Translation
Sabado,Sabado,Saturday,Noun,sah-BAH-doh,Day names,Sabado ang bakasyon.,Saturday is holiday.,Sabado ang bakasyon.,Sabado mi maghugas.,We will wash on Saturday.,Papanghugas kami Sabado.,Sabado mi nag-bonding sa pamilya kagahapon.,We had family bonding on Saturday yesterday.,Nag-bonding kami ng pamilya Sabado kahapon.
Domingo,Linggo,Sunday,Noun,doh-MEEN-goh,Day names,Domingo karon.,It’s Sunday.,Linggo ngayon.,Mag-reste mi Domingo.,We will rest Sunday.,Mamagpahinga kami Linggo.,Ang misa gi-celebrate Domingo sa buntag.,The mass was celebrated Sunday morning.,Gin-celebrate ang misa Linggo ng umaga.
Enero,Enero,January,Noun,eh-NEH-roh,Months,Enero na.,It’s January.,Enero na.,"Pasko sa Disyembre, Enero sunod.","Christmas in December, then January next.","Disyembre ang pasko, Enero naman ang bagong taon.",Ang pista sa baryo ginahimo sa Enero kada tuig.,The village fiesta is held in January every year.,Ginaganap ang pista ng baryo tuwing Enero.
Pebrero,Pebrero,February,Noun,peb-REH-roh,Months,Pebrero mosubang ang festival.,The festival will happen in February.,Pebrero magkakaroon ng festival.,Pebrero ang selebrasyon.,The celebration is in February.,Pebrero ang selebrasyon.,Ang Pebrero mao ang pinakamaayo nga panahon para sa planting.,February is the best time for planting.,Ang Pebrero ay pinakamainam para magtanim.
Marso,Marso,March,Noun,MAR-soh,Months,Marso ang opening.,Opening is in March.,Marso ang pagbubukas.,Ang trade fair Marso.,There’s a trade fair in March.,May trade fair sa Marso.,Ang proyekto magpadayon sa Marso sunod tuig.,The project continues in March next year.,Magpapatuloy ang proyekto sa Marso sa susunod na taon.
Abril,Abril,April,Noun,ab-REEL,Months,Abril ang event.,Event is in April.,Abril ang event.,Nag-set sila sa Abril.,They set it in April.,Itinakda nila sa Abril.,Ang Abril mao ang panahon sa harvest sa pipila ka prutas.,April is harvest season for some fruits.,Ang Abril ang panahon ng anihan para sa ilang prutas.
Mayo,Mayo,May,Noun,MAH-yoh,Months,Mayo na baya.,It’s May now.,Mayo na.,May selebrasyon sa Mayo.,There is a celebration in May.,May selebrasyon sa Mayo.,Ang Mayo usa ka busy nga buwan sa turismo.,May is a busy month for tourism.,Ang Mayo ay isang abalang buwan para sa turismo.
Hunyo,Hunyo,June,Noun,HOON-yoh,Months,Hunyo mosugod ang klase.,Classes start in June.,Hunyo magsisimula ang klase.,Hunyo ang orientation.,Orientation is in June.,May orientation sa Hunyo.,Ang Hunyo mao ang ting-init sa pipila ka lugar.,June is summer in some places.,Ang Hunyo ay tag-init sa ilang lugar.
Hulyo,Hulyo,July,Noun,HOOL-yoh,Months,Hulyo ang bakasyon.,Vacation in July.,Hulyo ang bakasyon.,Nagsugod sa Hulyo ang program.,The program started in July.,Nagsimula ang programa Hulyo.,Ang Hulyo mao ang buwan sa final exams para sa uban.,July is finals month for some.,Ang Hulyo ay buwan ng final exams para sa ilan.
Agosto,Agosto,August,Noun,ah-GOS-toh,Months,Agosto na.,It’s August.,Agosto na.,Adto mi sa fiesta sa Agosto.,We will go to the fiesta in August.,Pupunta kami sa fiesta ng Agosto.,Ang Agosto usahay bagyo-prone sa pipila ka areas.,August is sometimes storm-prone in some areas.,Minsan ay bagyo ang Agosto sa ilang lugar.
Septiyembre,Setyembre,September,Noun,sep-TYEM-breh,Months,Septiyembre na.,It’s September.,Setyembre na.,Ang event sa Septiyembre cancelled.,The event in September cancelled.,Kinansela ang event sa Setyembre.,Ang Septiyembre maayo sa mga harvest festival.,September is good for harvest festivals.,Maganda ang Setyembre para sa mga pista ng anihan.
Oktubre,Oktubre,October,Noun,ok-TOO-breh,Months,Oktubre na.,It’s October.,Oktubre na.,Adto mi Oktubre.,We will go in October.,Pupunta kami Oktubre.,Ang Oktubre naay daghang cultural programs.,October has many cultural programs.,Maraming cultural programs ang Oktubre.
Nobiyembre,Nobyembre,November,Noun,noh-BYEM-breh,Months,Nobiyembre mosugod ang prep.,Preparations start in November.,Nobyembre magsisimula ang paghahanda.,Nobiyembre ang schedule.,The schedule is in November.,Nobyembre ang iskedyul.,Ang Nobiyembre mao ang panahon sa final preparations.,November is the time for final preparations.,Ang Nobiyembre ang panahon ng huling paghahanda.
Disiyembre,Disyembre,December,Noun,dees-YEM-breh,Months,Disiyembre pasko.,December is Christmas.,Disyembre ay pasko.,Disiyembre holiday.,December is holidays.,Disyembre ay mga pista.,Ang Disiyembre puno sa selebrasyon ug reunion.,December is full of celebrations and reunions.,Ang Disyembre puno ng selebrasyon at pagkikita-kita.
Usa ka oras,Isang oras,One hour,Time,OO-sah kah OH-ras,Time,Usa ka oras lang.,Just one hour.,Isang oras lang.,Balikon nako in one hour.,I’ll be back in one hour.,Babalik ako sa loob ng isang oras.,Ang meeting molungtad ug usa ka oras gahapon.,The meeting lasted one hour yesterday.,Ang meeting ay tumagal ng isang oras kahapon.
Duha ka oras,Dalawang oras,Two hours,Time,DOO-hah kah OH-ras,Time,Duha ka oras na.,It’s two hours.,Dalawang oras na.,Gibuhat nako sulod duha ka oras.,I did it for two hours.,Ginawa ko ito ng dalawang oras.,Nag-meeting kami sulod duha ka oras gahapon.,We met for two hours yesterday.,Nag-meeting kami ng dalawang oras kahapon.
Tunga sa oras,Kalahating oras,Half hour,Time,TOO-ngah sah OH-ras,Time,Tunga sa oras.,Half an hour.,Kalahating oras.,Moadto kog tunga sa oras.,I will go in half an hour.,Pupunta ako sa loob ng kalahating oras.,Ang biyahe molungtad ug tunga sa oras.,The trip lasted half an hour.,Ang byahe ay tumagal ng kalahating oras.
Usa ka minuto,Isang minuto,One minute,Time,OO-sah kah mee-NOO-toh,Time,Usa ka minuto.,One minute.,Isang minuto.,Hulat usa ka minuto.,Wait one minute.,Maghintay ka ng isang minuto.,Misilip ko ang mensahe sa usa ka minuto.,I checked the message in one minute.,Tiningnan ko ang mensahe sa isang minuto.
Usa ka segundo,Isang segundo,One second,Time,OO-sah kah seh-GOON-doh,Time,Usa ka segundo.,One second.,Isang segundo.,Hulat usa ka segundo.,Wait one second.,Maghintay ka ng isang segundo.,Gi-pause nako ang video sa usa ka segundo.,I paused the video for one second.,Pinaupo ko ang video ng isang segundo.
Alas dos,Alas dos,Two o'clock,Time,AH-las dohs,Time,Alas dos na.,It’s two o’clock.,Alas dos na.,Alas dos ta mokita.,Let's meet at two o'clock.,Magkita tayo ng alas dos.,Alas dos ko nihapon para sa appointment.,I was at two o'clock for the appointment.,Nasa alas dos ako kahapon para sa appointment.
Alas tres,Alas tres,Three o'clock,Time,AH-las tres,Time,Alas tres na.,It’s three o’clock.,Alas tres na.,Mag-unsa ta alas tres?,What shall we do at three?,Ano ang gagawin natin alas tres?,Alas tres ang sunod nga activity; ayaw ka late.,The next activity is at three; don’t be late.,Ang susunod na aktibidad ay alas tres; huwag kang mahuli.
Alas kwatro,Alas kwatro,Four o'clock,Time,AH-las kwat-roh,Time,Alas kwatro na.,It’s four o’clock.,Alas kwatro na.,Moadto ko alas kwatro.,I will go at four o'clock.,Pupunta ako alas kwatro.,Alas kwatro nako natapos ang trabaho gahapon.,I finished work at four o'clock yesterday.,Natapos ko ang trabaho alas kwatro kahapon.
Alas singko,Alas singko,Five o'clock,Time,AH-las seeng-koh,Time,Alas singko na.,It’s five o’clock.,Alas singko na.,Alas singko ta mag-uban.,Let's meet at five.,Magkita tayo ng alas singko.,Alas singko ko nangaon kagahapon.,I ate at five o'clock yesterday.,Kumain ako ng alas singko kahapon.
Alas sais,Alas sais,Six o'clock,Time,AH-las sah-eess,Time,Alas sais na.,It’s six o’clock.,Alas sais na.,Alas sais ko mag-exercise.,I exercise at six.,Nag-e-exercise ako alas sais.,Alas sais ko natulog kagahapon.,I slept at six yesterday.,Natulog ako alas sais kahapon.
Alas siyete,Alas siyete,Seven o'clock,Time,AH-las see-YEH-teh,Time,Alas siyete na.,It’s seven o’clock.,Alas siyete na.,Alas siyete ta magmeeting.,Let's have the meeting at seven.,Magmeeting tayo alas siyete.,Alas siyete ko nagmata gahapon.,I woke up at seven yesterday.,Nagising ako alas siyete kahapon.
Alas otso,Alas walo,Eight o'clock,Time,AH-las ot-soh,Time,Alas otso na.,It’s eight o’clock.,Alas walo na.,Alas otso ko moanhi.,I will come at eight.,Paparito ako alas otso.,Alas otso ang start sa klase gahapon.,Classes started at eight yesterday.,Nagsimula ang klase alas otso kahapon.
Alas nuybe,Alas siyam,Nine o'clock,Time,AH-las nooy-beh,Time,Alas nuybe na.,It’s nine o’clock.,Alas siyam na.,Alas nuybe ta magkita?,Shall we meet at nine?,Magkita tayo ng alas siyam?,Alas nuybe nako natapos ang assignment gahapon.,I finished the assignment at nine yesterday.,Natapos ko ang assignment alas siyam kahapon.
Alas dyes,Alas sampu,Ten o'clock,Time,AH-las dyes,Time,Alas dyes na.,It’s ten o’clock.,Alas sampu na.,Mag-unsa ka alas dyes?,What are you doing at ten?,Ano ang gagawin mo alas sampu?,Alas dyes ang deadline; human na.,The deadline is ten; finish it.,Ang deadline ay alas sampu; tapusin na.
Alas onse,Alas onse,Eleven o'clock,Time,AH-las on-seh,Time,Alas onse na.,It’s eleven.,Alas onse na.,Alas onse ta mokita?,Shall we meet at eleven?,Magkita tayo alas onse?,Alas onse na ang concert gahapon.,The concert was at eleven yesterday.,Ang concert ay alas onse kahapon.
Alas dose,Alas dose,Twelve o'clock,Time,AH-las doh-seh,Time,Alas dose na.,It’s twelve.,Alas dose na.,Alas dose ta mag-check?,Shall we check at twelve?,Tingnan natin alas dose.,Alas dose nako ni-ani sa trabaho gahapon.,I clocked out at twelve yesterday.,Nag-log out ako alas dose kahapon.
Buntag,Umaga,Morning,Noun,boon-TAG,Time,Maayong buntag.,Good morning.,Magandang umaga.,Magbuntag na ta.,Let's start the morning.,Magsimula tayo ng umaga.,Mabuntag mi sa dalan ug nag-jogging.,We greeted the morning on the road and jogged.,Nagbati kami ng umaga sa kalsada at nag-jogging.
Udto,Tanghali,Noon,Noun,ood-TOH,Time,Maayong udto.,Good noon.,Magandang tanghali.,Nag-udto na ta.,Let's have lunch.,Kumain na tayo.,Udto nag-aotso ang init.,Noon the heat was strong.,Noon ay napakainit.
Hapon,Hapon,Afternoon,Noun,HAH-pon,Time,Maayong hapon.,Good afternoon.,Magandang hapon.,Nag-hapon ta sa balay.,We spent the afternoon at home.,Gin-umaga namin ang hapon sa bahay.,Ang hapon gani nindot para maglakaw.,The afternoon was good for a walk.,Maganda ang hapon para maglakad.
Gabii,Gabi,Night,Noun,gah-BEE-ee,Time,Maayong gabii.,Good evening.,Magandang gabi.,Maayong gabii sa tanan.,Good evening to everyone.,Magandang gabi sa lahat.,Gabii nga malinaw ang buwan.,The night had a clear moon.,Ang gabi ay maliwanag ang buwan.
Kagabii,Kagabi,Last night,Noun,kah-gah-BEE-ee,Time,Kagabii nindot ang concert.,Last night the concert was good.,Kagabi maganda ang concert.,Kagabii gaulan.,It rained last night.,Kagabi umulan.,Kagabii wala koy tulog kay busy ko.,I had no sleep last night because I was busy.,Hindi ako nakatulog kagabi dahil busy ako.
Karon nga buntag,Ngayong umaga,This morning,Adverb,KA-ron ngah boon-TAG,Time,Karon nga buntag nindot.,This morning is nice.,Ngayong umaga maganda.,Unsa imong gibuhat karon nga buntag?,What did you do this morning?,Ano ang ginawa mo ngayong umaga?,Karon nga buntag nag-jogging ko ug nakakita kog fiesta prep.,This morning I jogged and saw fiesta preparations.,Ngayong umaga nag-jogging ako at nakita ang paghahanda ng fiesta.
Karon nga hapon,Ngayong hapon,This afternoon,Adverb,KA-ron ngah HAH-pon,Time,Karon nga hapon busy ko.,I'm busy this afternoon.,Ngayong hapon busy ako.,Moadto ko karong hapon.,I will go this afternoon.,Pupunta ako ngayong hapon.,Karon nga hapon mag-meeting mi online.,This afternoon we have an online meeting.,Ngayong hapon may online meeting kami.
Karon nga gabii,Ngayong gabi,Tonight,Adverb,KA-ron ngah gah-BEE-ee,Time,Karon nga gabii naa koy plano.,I have plans tonight.,Ngayong gabi may plano ako.,Mokanta ko karon nga gabii.,I will sing tonight.,Kakanta ako ngayong gabi.,Karon nga gabii magbuhat ko ug report alang sa boss.,I will do a report tonight for the boss.,Ngayong gabi gagawin ko ang report para sa boss.
Panahon,Panahon,Weather/Season,Noun,pah-NAH-hon,Weather,Bag-ong panahon.,New weather.,Bago ang panahon.,Usahay ulan ang panahon.,Sometimes it rains.,Minsan umuulan ang panahon.,Ang panahon karon tig-init.,The weather is summer now.,Ang panahon ngayon ay tag-init.
Init nga panahon,Mainit na panahon,Hot weather,Noun,EE-neet ngah pah-NAH-hon,Weather,Init kaayo.,Very hot.,Napakainit.,Init ang adlaw karon.,The day is hot today.,Mainit ang araw ngayon.,Init kaayo gabii kagahapon.,It was very hot last night.,Sobrang init kagabi kahapon.
Bugnaw nga panahon,Malamig na panahon,Cold weather,Noun,boog-NAW ngah pah-NAH-hon,Weather,Bugnaw kaayo.,Very cold.,Napakalamig.,Bugnaw ang hangin karon.,The air is cold now.,Malamig ang hangin ngayon.,Bugnaw kaayo kagabii mao'g nipunit mi og habol.,It was very cold last night so we used blankets.,Sobrang lamig kagabi kaya kumot kami.
Ulan,Ulan,Rain,Noun,OO-lan,Weather,Naay ulan.,It's raining.,Umuulan.,Nag-ulan karon.,It is raining now.,Umuulan ngayon.,Nag-ulan tibuok adlaw gahapon.,It rained all day yesterday.,Umuulan buong araw kahapon.
Nagaulan,Umuulan,Raining,Verb,nah-gah-OO-lan,Weather,Nagaulan karon.,It is raining.,Umuulan.,Nagaulan bathang kusog.,It is raining heavily.,Umuulan nang malakas.,Nagaulan ug kusog gabii gani.,It rained hard last night.,Umuulan nang malakas kagabi nga gabi.
Hangin,Hangin,Wind,Noun,HAH-ngeen,Weather,Naay hangin.,There is wind.,May hangin.,Hangin kusog karon.,The wind is strong now.,Malakas ang hangin ngayon.,Ang hangin nga miigo sa pultahan gahapon kusog.,The wind that hit the door yesterday was strong.,Ang hangin na tumama sa pintuan kahapon ay malakas.
Bagyo,Bagyo,Storm,Noun,BAH-gyoh,Weather,Iwas sa bagyo.,Avoid the storm.,Iwasan ang bagyo.,Nag-warning sa bagyo.,Storm warning issued.,May babala ng bagyo.,Ang bagyo miigo sa baybayon gahapon.,The storm hit the shore yesterday.,Tinamaan ng bagyo ang baybayin kahapon.
Kidlat,Kidlat,Lightning,Noun,keed-LAT,Weather,Kidlat nagdungog.,Lightning struck.,May kidlat.,Kidlat nga kusog.,Strong lightning.,Malakas na kidlat.,Kidlat misidlak gabii gani.,Lightning flashed last night.,Sumabog ang kidlat kagabi.
Dagat,Dagat,Sea/Ocean,Noun,DAH-ghat,Nature,Gusto ko sa dagat.,I like the sea.,Gusto ko ng dagat.,Nindot ang dagat karon.,The sea is nice today.,Maganda ang dagat ngayon.,Ang dagat nga among giadto gahapon limpyo gyud.,The sea we went to yesterday was really clean.,Ang dagat na pinuntahan namin kahapon ay sobrang linis.
Suba,Ilog,River,Noun,SOO-bah,Nature,Naay suba duol.,There is a river nearby.,May ilog malapit.,Ang suba lapad.,The river is wide.,Malawak ang ilog.,Ang suba nga among gi-cross gahapon mabaw ug limpyo.,The river we crossed yesterday was shallow and clean.,Ang ilog na tinawid namin kahapon ay mababaw at malinis.
Bukid,Bundok,Mountain,Noun,boo-KEED,Nature,Gusto ko moadto sa bukid.,I want to go to the mountain.,Gusto kong pumunta sa bundok.,Ang bukid taas.,The mountain is tall.,Mataas ang bundok.,Ang hike sa bukid gahapon lisud pero nindot.,The hike up the mountain yesterday was hard but beautiful.,Mahirap ang pag-hike sa bundok kahapon pero maganda.
Kakahoyan,Kagubatan,Forest,Noun,kah-kah-hoh-YAN,Nature,Naa'y kakahoyan didto.,There is a forest there.,May kagubatan doon.,Ang kakahoyan daghan punuan.,The forest has many trees.,Maraming puno ang kagubatan.,Ang kakahoyan nga among gi-explore gahapon daghan ug wildlife.,The forest we explored yesterday had a lot of wildlife.,Maraming wildlife ang kagubatang in-explore namin kahapon.
Yuta,Lupa,Land/Earth,Noun,YUH-tah,Nature,Naay yuta diria.,There is land here.,May lupa dito.,Yuta humok.,The soil is soft.,Malambot ang lupa.,Ang yuta nga gipalit nila maayo para sa uma.,The land they bought is good for farming.,Ang lupa na binili nila ay angkop para sa bukirin.
Langit,Langit,Sky/Heaven,Noun,lah-NGEET,Nature,Tan-awa ang langit.,Look at the sky.,Tingnan ang langit.,Ang langit klaro karon.,The sky is clear today.,Maliwanag ang langit ngayon.,Ang langit gabii daghan bituon.,The sky last night had many stars.,Ang langit kagabi ay maraming bituin.
Bituon,Bituin,Star,Noun,bee-TOO-on,Nature,Ang bituon hayag.,The star is bright.,Maliwanag ang bituin.,Daghang bituon sa langit.,There are many stars in the sky.,Maraming bituin sa langit.,Ang bituon nga akong nakita gahapon lain ug kahayag.,The star I saw yesterday had a different glow.,Ang bituin na nakita ko kahapon ay may kakaibang liwanag.
Bulan,Buwan,Moon/Month,Noun,boo-LAHN,Nature,Maayong bulan.,Good month/Moon.,Magandang buwan.,Ang bulan hayag karon.,The moon is bright tonight.,Maliwanag ang buwan ngayon.,Ang bulan nga nagdan-ag sa dagat nindot kaayo.,The moon shining over the sea was beautiful.,Ang buwan na nagniningning sa dagat ay maganda.
Kolur,Kulay,Color,Noun,koo-LUHR,Common Nouns,Pila ang kolor?,What color is it?,Anong kulay?,Ang kolur pula.,The color is red.,Ang kulay ay pula.,Ang kolur sa balay nga akong gipintal kay asul.,The color I painted the house is blue.,Ang kulay ng bahay na pininturahan ko ay asul.
Pula,Pula,Red,Adjective,POO-lah,Colors,Pula ang rosas.,The rose is red.,Pula ang rosas.,Pula kaayo ang dangkal sa bata.,The child's dress is very red.,Napakapula ng damit ng bata.,,,
Asul,Asul,Blue,Adjective,AH-sool,Colors,Asul ang langit.,The sky is blue.,Asul ang langit.,Asul kaayo ang dagat.,The sea is very blue.,Sobrang asul ang dagat.,,,
Berde,Luntian,Green,Adjective,ber-DEH,Colors,Berde ang kahoy.,The tree is green.,Luntian ang puno.,Berde kaayo ang lawas sa tanom.,The plant is very green.,Sobrang luntian ang mga halaman.,,,
Dilaw,Dilaw,Yellow,Adjective,dee-LAW,Colors,Dilaw ang saging.,The banana is yellow.,Dilaw ang saging.,Dilaw kaayo ang adlaw.,The sun is very yellow.,Sobrang dilaw ang araw.,,,
Itom,Itim,Black,Adjective,ee-TOM,Colors,Itom ang itom.,It is black.,Itim ang kulay.,Itom kaayo ang iyang buhok.,Her hair is very black.,Sobrang itim ang buhok niya.,,,
Puti,Puti,White,Adjective,POO-tee,Colors,Puti ang bulak.,The flower is white.,Puti ang bulak.,Puti kaayo ang sinina niya.,Her clothes are very white.,Sobrang puti ang damit niya.,,,
Abohon,Abó,Gray,Adjective,ah-boh-HON,Colors,Abohon ang aspalto.,The asphalt is gray.,Abó ang aspalto.,Abohon kaayo ang panganod.,The clouds are very gray.,Sobrang abó ang mga ulap.,,,
Rosas,Rosas,Pink,Adjective,ROH-sas,Colors,Rosas ang rosas.,The rose is pink.,Rosas ang rosas.,Rosas kaayo ang palamuti.,The decoration is very pink.,Sobrang rosas ang dekorasyon.,,,
Lila,Lila,Purple,Adjective,LEE-lah,Colors,Lila ang bulak.,The flower is purple.,Lila ang bulak.,Lila kaayo ang iyang sinina.,His/her clothes are very purple.,Sobrang lila ang damit niya.,,,
Kaon,Kain,Eat,Verb,KAH-on,Food & Dining,Kaon na.,Let's eat.,Kain na.,Kaon ko og saging.,I will eat a banana.,Kakain ako ng saging.,Kaon ta ug panihapon unya.,Let's eat dinner later.,Kumain tayo ng hapunan mamaya.
Inom,Inom,Drink,Verb,EE-nom,Food & Dining,Inom ta.,Let's drink.,Inom tayo.,Inom ko og tubig.,I will drink water.,Iinom ako ng tubig.,Gi-inom nako ang gatas kagahapon.,I drank the milk yesterday.,Uminom ako ng gatas kahapon.
Bangon,Bangon,Wake up,Verb,BAH-ngon,Actions,Bangon na.,Wake up.,Bangon na.,Bangon siya sayo.,He wakes up early.,Babangon siya nang maaga.,Nibangon ko sayo kaniadto.,I woke up early before.,Nabangon ako nang maaga noong una.
Lakaw,Lakad,Walk,Verb,LAH-kaw,Actions,Lakaw ta.,Let's walk.,Lakad tayo.,Lakaw ko pa-eskwela.,I walk to school.,Lumakad ako papunta sa paaralan.,Nilakaw nako gikan balay paingon sa merkado gahapon.,I walked from home to the market yesterday.,Naglakad ako mula bahay papuntang palengke kahapon.
Dagan,Takbo,Run,Verb,DAH-gan,Actions,Dagan ta.,Let's run.,Takbo tayo.,Modagan siya.,He will run.,Tatakbo siya.,Nidagan ko aron maabtan ang bus.,I ran to catch the bus.,Tumakbo ako para maabutan ang bus.
Lingkod,Upo,Sit,Verb,leeng-KOD,Actions,Lingkod diri.,Sit here.,Upo ka dito.,Lingkod siya.,He sits.,Upo siya.,Nalingkod ko sa lamesa ug nagtuon.,I sat at the table and studied.,Upo ako sa lamesa at nag-aral.
Tindog,Tayo,Stand,Verb,teen-DOG,Actions,Tindog na.,Stand up.,Tumayo ka.,Tindog siya.,He stands.,Tumayo siya.,Nitindog ko pag-abot sa klase.,I stood up when class started.,Tumayo ako nang dumating ang klase.
Higda,Higa,Lie down,Verb,heeg-DAH,Actions,Higda diri.,Lie down here.,Humiga ka dito.,Higda siya.,He lies down.,Humiga siya.,Ni-higda ko sa higdaanan kay kapoy kaayo ko.,I lay down on the bed because I was very tired. Humiga ako sa kama dahil sobrang pagod ako.,
Basá,Basahin,Read/Make wet?,Read/Verb,bah-SAH,Actions/Basá (wet) context,Basá ang libro.,The book is wet.,Basá ang libro.,Basabahun nako ang teksto.,I will read the text.,Babasahin ko ang teksto.,Gibasa nako ang libro kagahapon.,I read the book yesterday.,Binasa ko ang libro kahapon.
Sulat,Sulat,Write,Verb,SOO-lat,Actions,Mosulat ko.,I will write.,Magsusulat ako.,Nagasulat siya sa sulat.,He is writing a letter.,Nagsusulat siya ng liham.,Gisulat nako ang proposal kagahapon.,I wrote the proposal yesterday.,Sinulat ko ang proposal kahapon.
Sulti,Salita,Speak/Tell,Verb,sool-TEE,Actions,Sulti nako.,I will say.,Sasabihin ko.,Sulti siya sa mga bata.,He tells the kids.,Sinasabi niya sa mga bata.,Gisulti niya ang tinuod kagahapon.,He told the truth yesterday.,Sinabi niya ang totoo kahapon.
Paminaw,Pakinggan,Listen,Verb,pah-MEE-naw,Actions,Paminaw diri.,Listen here.,Pakinggan mo ito.,Paminaw siya sa tugtog.,He listens to the song.,Pakikinggan niya ang kanta.,Gipaminaw nako ang balita kagahapon.,I listened to the news yesterday.,Pinakinggan ko ang balita kahapon.
Tan-aw,Tingnan,Look/See,Verb,tan-AW,Actions,Tan-aw sa.,Look at it.,Tingnan mo.,Motan-aw ko og salida.,I will watch a movie.,Panood ako ng pelikula.,Gitan-aw nako ang salida kagahapon.,I watched the movie yesterday.,Nanood ako ng pelikula kahapon.
Hilak,Umiiyak,Cry,Verb,HEE-lak,Emotions,Hilak siya.,He/She cries.,Umiiyak siya.,Hilak ka?,Are you crying?,Umiiyak ka ba?,Gihilak siya tungod sa malisud nga balita gahapon.,He cried because of the sad news yesterday.,Umiiyak siya dahil sa malungkot na balita kahapon.
Katawa,Tawa,Laugh,Verb,KAH-tah-wah,Emotions,Katawa ta.,Let's laugh.,Tumawa tayo.,Katawa ka.,You laugh.,Natawa ka.,Nakatawa ko sa joke kagahapon.,I laughed at the joke yesterday.,Natawa ako sa biro kahapon.
Kanta,Kanta,Sing,Verb,KAN-tah,Actions,Mokanta ko.,I will sing.,Kakanta ako.,Kanta siya sa entablado.,He sings on stage.,Kumanta siya sa entablado.,Gikanta nako ang kanta sa event gahapon.,I sang the song at the event yesterday.,Kumanta ako ng kanta sa event kahapon.
Sayaw,Sayaw,Dance,Verb,SAH-yaw,Actions,Mosayaw ta.,Let's dance.,Sasayaw tayo.,Sayaw siya.,He/She dances.,Sasayaw siya.,Gisayaw nako ang choreography sa competition.,I danced the choreography at the competition.,Sinayaw ko ang choreography sa competition.
Dula,Dula,Play,Verb,DOO-lah,Actions,Dula ta.,Let's play.,Maglaro tayo.,Dula siya sa gawas.,He plays outside.,Naglalaro siya sa labas.,Gidula nako ang dula sa event.,I performed the play at the event.,Ginawa ko ang dula sa event.
Trabaho,Trabaho,Work,Verb/trade/trabaho,trah-BAH-hoh,Actions,Trabaho ta.,Let's work.,Magtrabaho tayo.,Trabaho siya sa opisina.,He works at the office.,Nagtatrabaho siya sa opisina.,Nagtrabaho ko ug dugay gahapon.,I worked long yesterday.,Nagtatrabaho ako nang matagal kahapon.
Eskwela,Paaralan,Study/School,Noun/eskwela,es-KWEH-lah,Education,Nag-eskwela ko.,I study.,Nag-aaral ako.,Adto ko eskwela.,I go to school.,Pumunta ako sa paaralan.,Nag-eskwela ko sa layo nga lugar kaniadto.,I studied far from home before.,Nag-aral ako sa malayong lugar noon.
Palit,Bili,Buy,Verb,PAH-leet,Shopping,Palit ug pan.,Buy bread.,Bumili ng tinapay.,Nagpalit siya.,He bought something.,Bumili siya.,Gipalit nako ang regalo gahapon.,I bought the gift yesterday.,Bumili ako ng regalo kahapon.
Baligya,Benta,Sell,Verb,bah-LEEG-yah,Shopping,Baligya kini.,Sell this.,Ibenta ito.,Nagbaligya siya sa merkado.,He sells in the market.,Nagbebenta siya sa palengke.,Gibaligya nako ang mga produkto sa fair.,I sold the products at the fair.,Ibenta ko ang mga produkto sa fair.
Hatag,Bigay,Give,Verb,HAH-tag,Actions,Hatag nako.,I will give.,Ibigay ko.,Gihatag niya ang libro.,He gave the book.,Ibinigay niya ang libro.,Gihatag nako ang tambal sa bata gahapon.,I gave the medicine to the child yesterday.,Ibinigay ko ang gamot sa bata kahapon.
Dawat,Tanggap,Receive,Verb,DAH-wat,Actions,Dawat kini.,Accept this.,Tanggapin ito.,Gidawat nako ang sulat.,I received the letter.,Tinanggap ko ang sulat.,Gidawat nako ang tabang gikan sa silingan gahapon.,I accepted the help from the neighbor yesterday.,Tinatanggap ko ang tulong mula sa kapitbahay kahapon.
Kuha,Kuha,Get/Take,Verb,KOO-hah,Actions,Kuhaa na.,Take it.,Kunin mo na.,Gikuha nako ang pagkaon.,I took the food.,Kinuha ko ang pagkain.,Gikuha nako ang dokumento sa opisina gahapon.,I got the document from the office yesterday.,Kinuha ko ang dokumento sa opisina kahapon.
Butang,Lagay,Put,Verb,boo-TANG,Actions,Butang diri.,Put it here.,Ilagay mo dito.,Gibutang nako ang libro sa lamesa.,I put the book on the table.,Inilagay ko ang libro sa mesa.,Gibutang nako ang tanan sa kahon gahapon.,I put everything in the box yesterday.,Inilagay ko ang lahat sa kahon kahapon.
Hunong,Hinto,Stop,Verb,hoo-NONG,Actions,Hunong na.,Stop now.,Hinto ka na.,Hunong siya sa trabaho.,He stopped working.,Tumigil siya sa trabaho.,Nahunong ang trapiko gahapon tungod sa aksidente.,Traffic stopped yesterday due to an accident. Huminto ang trapiko kahapon dahil sa aksidente.,
Sugod,Simula,Start,Verb,SOO-god,Actions,Sugod na.,Start now.,Simula na.,Mosugod siya karon.,He will start now.,Magsisimula siya ngayon.,Gisugdan nako ang proyekto gahapon.,I started the project yesterday.,Sinimulan ko ang proyekto kahapon.
